;;;;;0
1;1;9;1;1;0.0
1;1;9;2;1;0.0
1;1;10;1;1;0.0
1;1;10;2;1;0.0
1;1;11;1;1;0.0
1;1;11;2;1;0.0
1;1;12;1;1;0.0
1;1;12;2;1;0.0
1;1;13;1;1;0.0
1;1;13;2;1;0.0
1;1;14;1;1;0.0
1;1;14;2;1;0.0
1;1;15;1;1;0.0
1;1;15;2;1;0.0
1;1;16;1;1;0.0
1;1;16;2;1;0.0
1;1;17;1;1;0.0
1;1;17;2;1;0.0
1;1;18;1;1;0.0
1;1;18;2;1;0.0
1;1;19;1;1;0.0
1;1;19;2;1;0.0
1;1;20;1;1;0.0
1;1;20;2;1;0.0
1;1;21;1;1;0.0
1;1;21;2;1;0.0
1;1;22;1;1;0.0
1;1;22;2;1;0.0
1;1;23;1;1;0.0
1;1;23;2;1;0.0
1;1;24;1;1;0.0
1;1;24;2;1;0.0
1;1;25;1;1;0.0
1;1;25;2;1;0.0
1;1;26;1;1;0.0
1;1;26;2;1;0.0
1;1;27;1;1;0.0
1;1;27;2;1;0.0
1;1;28;1;1;0.0
1;1;28;2;1;0.0
1;1;29;1;1;0.0
1;1;29;2;1;0.0
1;1;30;1;1;0.0
1;1;30;2;1;0.0
1;1;31;1;1;0.0
1;1;31;2;1;0.0
1;1;32;1;1;0.0
1;1;32;2;1;0.0
1;1;33;1;1;0.0
1;1;33;2;1;0.0
1;1;34;1;1;0.0
1;1;34;2;1;0.0
1;1;35;1;1;0.0
1;1;35;2;1;0.0
1;1;36;1;1;0.0
1;1;36;2;1;0.0
1;1;37;1;1;0.0
1;1;37;2;1;0.0
1;1;38;1;1;0.0
1;1;38;2;1;0.0
1;1;39;1;1;0.0
1;1;39;2;1;0.0
1;1;40;1;1;0.0
1;1;40;2;1;0.0
1;1;41;1;1;0.0
1;1;41;2;1;0.0
1;1;42;1;1;0.0
1;1;42;2;1;0.0
1;1;43;1;1;0.0
1;1;43;2;1;0.0
1;1;44;1;1;0.0
1;1;44;2;1;0.0
1;1;45;1;1;0.0
1;1;45;2;1;0.0
1;1;46;1;1;0.0
1;1;46;2;1;0.0
1;1;47;1;1;0.0
1;1;47;2;1;0.0
1;1;48;1;1;0.0
1;1;48;2;1;0.0
1;1;49;1;1;0.0
1;1;49;2;1;0.0
1;1;50;1;1;0.0
1;1;50;2;1;0.0
1;1;51;1;1;0.0
1;1;51;2;1;0.0
1;1;52;1;1;0.0
1;1;52;2;1;0.0
1;1;53;1;1;0.0
1;1;53;2;1;0.0
1;1;54;1;1;0.0
1;1;54;2;1;0.0
1;1;55;1;1;0.0
1;1;55;2;1;0.0
1;1;56;1;1;0.0
1;1;56;2;1;0.0
1;1;57;1;1;0.0
1;1;57;2;1;0.0
1;1;58;1;1;0.0
1;1;58;2;1;0.0
1;1;59;1;1;0.0
1;1;59;2;1;0.0
1;1;60;1;1;0.0
1;1;60;2;1;0.0
1;1;61;1;1;0.0
1;1;61;2;1;0.0
1;1;62;1;1;0.0
1;1;62;2;1;0.0
1;1;63;1;1;0.0
1;1;63;2;1;0.0
1;1;64;1;1;0.0
1;1;64;2;1;0.0
1;1;65;1;1;0.0
1;1;65;2;1;0.0
1;1;66;1;1;0.0
1;1;66;2;1;0.0
1;1;67;1;1;0.0
1;1;67;2;1;0.0
1;1;68;1;1;0.0
1;1;68;2;1;0.0
1;1;69;1;1;0.0
1;1;69;2;1;0.0
1;1;70;1;1;0.0
1;1;70;2;1;0.0
1;1;71;1;1;0.0
1;1;71;2;1;0.0
1;1;72;1;1;0.0
1;1;72;2;1;0.0
1;1;73;1;1;0.0
1;1;73;2;1;0.0
1;1;74;1;1;0.0
1;1;74;2;1;0.0
1;1;75;1;1;0.0
1;1;75;2;1;0.0
1;1;76;1;1;0.0
1;1;76;2;1;0.0
1;1;77;1;1;0.0
1;1;77;2;1;0.0
1;1;78;1;1;0.0
1;1;78;2;1;0.0
1;1;79;1;1;0.0
1;1;79;2;1;0.0
1;1;80;1;1;0.0
1;1;80;2;1;0.0
1;1;81;1;1;0.0
1;1;81;2;1;0.0
1;1;82;1;1;0.0
1;1;82;2;1;0.0
1;1;83;1;1;0.0
1;1;83;2;1;0.0
1;1;84;1;1;0.0
1;1;84;2;1;0.0
1;1;85;1;1;0.0
1;1;85;2;1;0.0
1;1;86;1;1;0.0
1;1;86;2;1;0.0
1;1;87;1;1;0.0
1;1;87;2;1;0.0
1;1;88;1;1;0.0
1;1;88;2;1;0.0
1;1;89;1;1;0.0
1;1;89;2;1;0.0
1;1;90;1;1;0.0
1;1;90;2;1;0.0
1;1;91;1;1;0.0
1;1;91;2;1;0.0
1;1;92;1;1;0.0
1;1;92;2;1;0.0
1;1;93;1;1;0.0
1;1;93;2;1;0.0
1;1;94;1;1;0.0
1;1;94;2;1;0.0
1;1;95;1;1;0.0
1;1;95;2;1;0.0
1;1;96;1;1;0.0
1;1;96;2;1;0.0
1;1;97;1;1;0.0
1;1;97;2;1;0.0
1;1;98;1;1;0.0
1;1;98;2;1;0.0
1;1;99;1;1;0.0
1;1;99;2;1;0.0
1;1;100;1;1;0.0
1;1;100;2;1;0.0
1;1;101;1;1;0.0
1;1;101;2;1;0.0
1;1;102;1;1;0.0
1;1;102;2;1;0.0
1;1;103;1;1;0.0
1;1;103;2;1;0.0
1;1;104;1;1;0.0
1;1;104;2;1;0.0
1;1;105;1;1;0.0
1;1;105;2;1;0.0
1;1;106;1;1;0.0
1;1;106;2;1;0.0
1;1;107;1;1;0.0
1;1;107;2;1;0.0
1;1;108;1;1;0.0
1;1;108;2;1;0.0
1;1;109;1;1;0.0
1;1;109;2;1;0.0
1;1;110;1;1;0.0
1;1;110;2;1;0.0
1;1;111;1;1;0.0
1;1;111;2;1;0.0
1;1;112;1;1;0.0
1;1;112;2;1;0.0
1;1;113;1;1;0.0
1;1;113;2;1;0.0
1;1;114;1;1;0.0
1;1;114;2;1;0.0
1;1;115;1;1;0.0
1;1;115;2;1;0.0
1;1;116;1;1;0.0
1;1;116;2;1;0.0
1;1;117;1;1;0.0
1;1;117;2;1;0.0
1;1;118;1;1;0.0
1;1;118;2;1;0.0
1;1;119;1;1;0.0
1;1;119;2;1;0.0
1;1;120;1;1;0.0
1;1;120;2;1;0.0
1;1;121;1;1;0.0
1;1;121;2;1;0.0
1;1;122;1;1;0.0
1;1;122;2;1;0.0
1;1;123;1;1;0.0
1;1;123;2;1;0.0
1;1;124;1;1;0.0
1;1;124;2;1;0.0
1;1;125;1;1;0.0
1;1;125;2;1;0.0
1;1;126;1;1;0.0
1;1;126;2;1;0.0
1;1;127;1;1;0.0
1;1;127;2;1;0.0
1;1;128;1;1;0.0
1;1;128;2;1;0.0
1;1;129;1;1;0.0
1;1;129;2;1;0.0
1;1;130;1;1;0.0
1;1;130;2;1;0.0
1;1;131;1;1;0.0
1;1;131;2;1;0.0
1;1;132;1;1;0.0
1;1;132;2;1;0.0
1;1;133;1;1;0.0
1;1;133;2;1;0.0
1;1;134;1;1;0.0
1;1;134;2;1;0.0
1;1;135;1;1;0.0
1;1;135;2;1;0.0
1;1;136;1;1;0.0
1;1;136;2;1;0.0
1;1;137;1;1;0.0
1;1;137;2;1;0.0
1;1;138;1;1;0.0
1;1;138;2;1;0.0
1;1;139;1;1;0.0
1;1;139;2;1;0.0
1;1;140;1;1;0.0
1;1;140;2;1;0.0
1;1;141;1;1;0.0
1;1;141;2;1;0.0
1;1;142;1;1;0.0
1;1;142;2;1;0.0
1;1;143;1;1;0.0
1;1;143;2;1;0.0
1;1;144;1;1;0.0
1;1;144;2;1;0.0
1;1;145;1;1;0.0
1;1;145;2;1;0.0
1;1;146;1;1;0.0
1;1;146;2;1;0.0
1;1;147;1;1;0.0
1;1;147;2;1;0.0
1;1;148;1;1;0.0
1;1;148;2;1;0.0
1;1;149;1;1;0.0
1;1;149;2;1;0.0
1;1;150;1;1;0.0
1;1;150;2;1;0.0
1;1;151;1;1;0.0
1;1;151;2;1;0.0
1;1;152;1;1;0.0
1;1;152;2;1;0.0
1;1;153;1;1;0.0
1;1;153;2;1;0.0
1;1;154;1;1;0.0
1;1;154;2;1;0.0
1;1;155;1;1;0.0
1;1;155;2;1;0.0
1;1;156;1;1;0.0
1;1;156;2;1;0.0
1;1;157;1;1;0.0
1;1;157;2;1;0.0
1;1;158;1;1;0.0
1;1;158;2;1;0.0
1;1;159;1;1;0.0
1;1;159;2;1;0.0
1;1;160;1;1;0.0
1;1;160;2;1;0.0
1;1;161;1;1;0.0
1;1;161;2;1;0.0
1;1;162;1;1;0.0
1;1;162;2;1;0.0
1;1;163;1;1;0.0
1;1;163;2;1;0.0
1;1;164;1;1;0.0
1;1;164;2;1;0.0
1;1;165;1;1;0.0
1;1;165;2;1;0.0
1;1;166;1;1;0.0
1;1;166;2;1;0.0
1;1;167;1;1;0.0
1;1;167;2;1;0.0
1;1;168;1;1;0.0
1;1;168;2;1;0.0
1;2;9;1;1;0.0
1;2;9;2;1;0.0
1;2;10;1;1;0.0
1;2;10;2;1;0.0
1;2;11;1;1;0.0
1;2;11;2;1;0.0
1;2;12;1;1;0.0
1;2;12;2;1;0.0
1;2;13;1;1;0.0
1;2;13;2;1;0.0
1;2;14;1;1;0.0
1;2;14;2;1;0.0
1;2;15;1;1;0.0
1;2;15;2;1;0.0
1;2;16;1;1;0.0
1;2;16;2;1;0.0
1;2;17;1;1;0.0
1;2;17;2;1;0.0
1;2;18;1;1;0.0
1;2;18;2;1;0.0
1;2;19;1;1;0.0
1;2;19;2;1;0.0
1;2;20;1;1;0.0
1;2;20;2;1;0.0
1;2;21;1;1;0.0
1;2;21;2;1;0.0
1;2;22;1;1;0.0
1;2;22;2;1;0.0
1;2;23;1;1;0.0
1;2;23;2;1;0.0
1;2;24;1;1;0.0
1;2;24;2;1;0.0
1;2;25;1;1;0.0
1;2;25;2;1;0.0
1;2;26;1;1;0.0
1;2;26;2;1;0.0
1;2;27;1;1;0.0
1;2;27;2;1;0.0
1;2;28;1;1;0.0
1;2;28;2;1;0.0
1;2;29;1;1;0.0
1;2;29;2;1;0.0
1;2;30;1;1;0.0
1;2;30;2;1;0.0
1;2;31;1;1;0.0
1;2;31;2;1;0.0
1;2;32;1;1;0.0
1;2;32;2;1;0.0
1;2;33;1;1;0.0
1;2;33;2;1;0.0
1;2;34;1;1;0.0
1;2;34;2;1;0.0
1;2;35;1;1;0.0
1;2;35;2;1;0.0
1;2;36;1;1;0.0
1;2;36;2;1;0.0
1;2;37;1;1;0.0
1;2;37;2;1;0.0
1;2;38;1;1;0.0
1;2;38;2;1;0.0
1;2;39;1;1;0.0
1;2;39;2;1;0.0
1;2;40;1;1;0.0
1;2;40;2;1;0.0
1;2;41;1;1;0.0
1;2;41;2;1;0.0
1;2;42;1;1;0.0
1;2;42;2;1;0.0
1;2;43;1;1;0.0
1;2;43;2;1;0.0
1;2;44;1;1;0.0
1;2;44;2;1;0.0
1;2;45;1;1;0.0
1;2;45;2;1;0.0
1;2;46;1;1;0.0
1;2;46;2;1;0.0
1;2;47;1;1;0.0
1;2;47;2;1;0.0
1;2;48;1;1;0.0
1;2;48;2;1;0.0
1;2;49;1;1;0.0
1;2;49;2;1;0.0
1;2;50;1;1;0.0
1;2;50;2;1;0.0
1;2;51;1;1;0.0
1;2;51;2;1;0.0
1;2;52;1;1;0.0
1;2;52;2;1;0.0
1;2;53;1;1;0.0
1;2;53;2;1;0.0
1;2;54;1;1;0.0
1;2;54;2;1;0.0
1;2;55;1;1;0.0
1;2;55;2;1;0.0
1;2;56;1;1;0.0
1;2;56;2;1;0.0
1;2;57;1;1;0.0
1;2;57;2;1;0.0
1;2;58;1;1;0.0
1;2;58;2;1;0.0
1;2;59;1;1;0.0
1;2;59;2;1;0.0
1;2;60;1;1;0.0
1;2;60;2;1;0.0
1;2;61;1;1;0.0
1;2;61;2;1;0.0
1;2;62;1;1;0.0
1;2;62;2;1;0.0
1;2;63;1;1;0.0
1;2;63;2;1;0.0
1;2;64;1;1;0.0
1;2;64;2;1;0.0
1;2;65;1;1;0.0
1;2;65;2;1;0.0
1;2;66;1;1;0.0
1;2;66;2;1;0.0
1;2;67;1;1;0.0
1;2;67;2;1;0.0
1;2;68;1;1;0.0
1;2;68;2;1;0.0
1;2;69;1;1;0.0
1;2;69;2;1;0.0
1;2;70;1;1;0.0
1;2;70;2;1;0.0
1;2;71;1;1;0.0
1;2;71;2;1;0.0
1;2;72;1;1;0.0
1;2;72;2;1;0.0
1;2;73;1;1;0.0
1;2;73;2;1;0.0
1;2;74;1;1;0.0
1;2;74;2;1;0.0
1;2;75;1;1;0.0
1;2;75;2;1;0.0
1;2;76;1;1;0.0
1;2;76;2;1;0.0
1;2;77;1;1;0.0
1;2;77;2;1;0.0
1;2;78;1;1;0.0
1;2;78;2;1;0.0
1;2;79;1;1;0.0
1;2;79;2;1;0.0
1;2;80;1;1;0.0
1;2;80;2;1;0.0
1;2;81;1;1;0.0
1;2;81;2;1;0.0
1;2;82;1;1;0.0
1;2;82;2;1;0.0
1;2;83;1;1;0.0
1;2;83;2;1;0.0
1;2;84;1;1;0.0
1;2;84;2;1;0.0
1;2;85;1;1;0.0
1;2;85;2;1;0.0
1;2;86;1;1;0.0
1;2;86;2;1;0.0
1;2;87;1;1;0.0
1;2;87;2;1;0.0
1;2;88;1;1;0.0
1;2;88;2;1;0.0
1;2;89;1;1;0.0
1;2;89;2;1;0.0
1;2;90;1;1;0.0
1;2;90;2;1;0.0
1;2;91;1;1;0.0
1;2;91;2;1;0.0
1;2;92;1;1;0.0
1;2;92;2;1;0.0
1;2;93;1;1;0.0
1;2;93;2;1;0.0
1;2;94;1;1;0.0
1;2;94;2;1;0.0
1;2;95;1;1;0.0
1;2;95;2;1;0.0
1;2;96;1;1;0.0
1;2;96;2;1;0.0
1;2;97;1;1;0.0
1;2;97;2;1;0.0
1;2;98;1;1;0.0
1;2;98;2;1;0.0
1;2;99;1;1;0.0
1;2;99;2;1;0.0
1;2;100;1;1;0.0
1;2;100;2;1;0.0
1;2;101;1;1;0.0
1;2;101;2;1;0.0
1;2;102;1;1;0.0
1;2;102;2;1;0.0
1;2;103;1;1;0.0
1;2;103;2;1;0.0
1;2;104;1;1;0.0
