;;;;0
1;1;41;1;0.00022099722642460927
1;1;41;2;0.0
1;1;42;1;0.0003546352328122374
1;1;42;2;0.0
1;1;43;1;0.00022752103819969743
1;1;43;2;0.0
1;1;44;1;0.000225518206841486
1;1;44;2;0.0
1;1;45;1;0.0
1;1;45;2;0.0
1;1;46;1;0.0
1;1;46;2;0.0
1;1;47;1;0.0
1;1;47;2;0.0
1;1;48;1;0.0
1;1;48;2;0.0
1;1;49;1;0.000353616153975458
1;1;49;2;0.0
1;1;50;1;0.0
1;1;50;2;0.0
1;1;51;1;0.0002874478641368297
1;1;51;2;0.0
1;1;52;1;0.00036938127731551523
1;1;52;2;0.0
1;1;53;1;0.0
1;1;53;2;0.00036368835623634227
1;1;54;1;0.0
1;1;54;2;0.0
1;1;55;1;0.0
1;1;55;2;0.0
1;1;56;1;0.0
1;1;56;2;0.0
1;1;57;1;0.00022654884224239359
1;1;57;2;0.0
1;1;58;1;0.0001513781202723147
1;1;58;2;0.0
1;1;59;1;0.0003488552435283241
1;1;59;2;0.0
1;1;60;1;0.00024107583732560096
1;1;60;2;0.0
1;1;61;1;0.0
1;1;61;2;0.0
1;1;62;1;0.0
1;1;62;2;0.0
1;1;63;1;0.0
1;1;63;2;0.0
1;1;64;1;0.0
1;1;64;2;0.0
1;1;65;1;0.0
1;1;65;2;0.0
1;1;66;1;0.0
1;1;66;2;0.0
1;1;67;1;0.0
1;1;67;2;0.0
1;1;68;1;0.0
1;1;68;2;0.0
1;1;69;1;0.0
1;1;69;2;0.0
1;1;70;1;0.0
1;1;70;2;0.0
1;1;71;1;0.0
1;1;71;2;0.0
1;1;72;1;0.0
1;1;72;2;0.0
1;1;73;1;0.0003737710644646159
1;1;73;2;0.0
1;1;74;1;0.00020979707723987225
1;1;74;2;0.0
1;1;75;1;0.0003291337041939822
1;1;75;2;0.0
1;1;76;1;0.00021216472831568333
1;1;76;2;0.0
1;1;77;1;0.0
1;1;77;2;0.0
1;1;78;1;0.0
1;1;78;2;0.0
1;1;79;1;0.0
1;1;79;2;0.0
1;1;80;1;0.0
1;1;80;2;0.0
1;1;81;1;0.0
1;1;81;2;0.0
1;1;82;1;0.0
1;1;82;2;0.0
1;1;83;1;0.0
1;1;83;2;0.0
1;1;84;1;0.0
1;1;84;2;0.0
1;1;85;1;0.0
1;1;85;2;0.0
1;1;86;1;0.0
1;1;86;2;0.0
1;1;87;1;0.0
1;1;87;2;0.0
1;1;88;1;0.0
1;1;88;2;0.0
1;1;89;1;0.0002237552398512356
1;1;89;2;0.0
1;1;90;1;0.00015242208511934778
1;1;90;2;0.0
1;1;91;1;0.000349060503866196
1;1;91;2;0.0
1;1;92;1;0.0003777083070684149
1;1;92;2;0.0
1;1;93;1;0.0
1;1;93;2;0.0
1;1;94;1;0.0
1;1;94;2;0.0
1;1;95;1;0.0
1;1;95;2;0.0
1;1;96;1;0.0
1;1;96;2;0.0
1;1;97;1;0.00035289793977979486
1;1;97;2;0.0
1;1;98;1;0.0003197093261472517
1;1;98;2;0.0
1;1;99;1;0.00023021148512355019
1;1;99;2;0.0
1;1;100;1;0.0
1;1;100;2;0.0
1;1;101;1;0.0
1;1;101;2;0.0
1;1;102;1;0.0
1;1;102;2;0.0
1;1;103;1;0.0
1;1;103;2;0.0
1;1;104;1;0.0
1;1;104;2;0.0
1;1;105;1;0.0
1;1;105;2;0.0
1;1;106;1;0.0
1;1;106;2;0.0
1;1;107;1;0.0
1;1;107;2;0.0
1;1;108;1;0.0
1;1;108;2;0.0
1;1;109;1;0.0
1;1;109;2;0.0
1;1;110;1;0.0
1;1;110;2;0.0
1;1;111;1;0.0
1;1;111;2;0.0
1;1;112;1;0.0
1;1;112;2;0.0
1;1;113;1;0.0004963658327656283
1;1;113;2;0.0
1;1;114;1;0.00013466735033237134
1;1;114;2;0.0
1;1;115;1;0.0003535700590435367
1;1;115;2;0.00010695258656917127
1;1;116;1;0.0
1;1;116;2;0.0
1;1;117;1;0.0
1;1;117;2;0.0
1;1;118;1;0.0
1;1;118;2;0.00026135721339720945
1;1;119;1;0.0
1;1;119;2;0.0
1;1;120;1;0.0
1;1;120;2;0.0
1;1;121;1;0.0002639767450411834
1;1;121;2;0.0
1;1;122;1;0.0
1;1;122;2;0.0
1;1;123;1;0.00027401782337367625
1;1;123;2;0.0
